Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MULTISPECIES: PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA [Staphylococcaceae],Staphylococcaceae,177,177,100%,1e-50,96.67,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063852655.1?report=genbank&log$=prottop&blast_rank=1&RID=UKXTVWSU016"",""WP_063852655.1"")"
MULTISPECIES: PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA [Bacillota],Bacillota,177,177,100%,1e-50,96.67,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001801873.1?report=genbank&log$=prottop&blast_rank=2&RID=UKXTVWSU016"",""WP_001801873.1"")"
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA [Mammaliicoccus fleurettii],Mammaliicoccus fleurettii,154,154,100%,3e-42,94.44,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078357487.1?report=genbank&log$=prottop&blast_rank=3&RID=UKXTVWSU016"",""WP_078357487.1"")"
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA1 [Mammaliicoccus sciuri],Mammaliicoccus sciuri,128,128,100%,7e-33,70.00,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_048540464.1?report=genbank&log$=prottop&blast_rank=4&RID=UKXTVWSU016"",""WP_048540464.1"")"
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecC [Staphylococcus edaphicus],Staphylococcus edaphicus,99.0,99.0,99%,2e-22,55.06,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099089841.1?report=genbank&log$=prottop&blast_rank=5&RID=UKXTVWSU016"",""WP_099089841.1"")"
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecC3 [Staphylococcus caeli],Staphylococcus caeli,89.7,89.7,99%,3e-19,56.18,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069996660.1?report=genbank&log$=prottop&blast_rank=6&RID=UKXTVWSU016"",""WP_069996660.1"")"
MULTISPECIES: PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecB [Staphylococcaceae],Staphylococcaceae,69.3,69.3,99%,5e-12,39.56,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188017771.1?report=genbank&log$=prottop&blast_rank=7&RID=UKXTVWSU016"",""WP_188017771.1"")"
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecB [Macrococcoides canis],Macrococcoides canis,68.9,68.9,100%,6e-12,39.13,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063852710.1?report=genbank&log$=prottop&blast_rank=8&RID=UKXTVWSU016"",""WP_063852710.1"")"
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecB [Macrococcoides goetzii],Macrococcoides goetzii,67.0,67.0,100%,3e-11,36.96,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099579547.1?report=genbank&log$=prottop&blast_rank=9&RID=UKXTVWSU016"",""WP_099579547.1"")"
MULTISPECIES: PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecB [Staphylococcaceae],Staphylococcaceae,66.2,66.2,100%,6e-11,36.96,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_210152341.1?report=genbank&log$=prottop&blast_rank=10&RID=UKXTVWSU016"",""WP_210152341.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Romboutsia],Romboutsia,62.4,62.4,97%,1e-09,44.32,660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092925264.1?report=genbank&log$=prottop&blast_rank=11&RID=UKXTVWSU016"",""WP_092925264.1"")"
MULTISPECIES: PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecD [Staphylococcaceae],Staphylococcaceae,58.2,58.2,99%,4e-08,34.07,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_087587946.1?report=genbank&log$=prottop&blast_rank=12&RID=UKXTVWSU016"",""WP_087587946.1"")"
penicillin-binding transpeptidase domain-containing protein [Extibacter muris],Extibacter muris,57.8,57.8,83%,6e-08,37.33,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_132274012.1?report=genbank&log$=prottop&blast_rank=13&RID=UKXTVWSU016"",""WP_132274012.1"")"
penicillin-binding protein PBP4(5) [Vagococcus acidifermentans],Vagococcus acidifermentans,56.2,56.2,96%,2e-07,38.64,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_170175120.1?report=genbank&log$=prottop&blast_rank=14&RID=UKXTVWSU016"",""WP_170175120.1"")"
PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecD [Macrococcoides bohemicum],Macrococcoides bohemicum,55.5,55.5,99%,3e-07,32.97,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_407943980.1?report=genbank&log$=prottop&blast_rank=15&RID=UKXTVWSU016"",""WP_407943980.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus arachidis],Bacillus arachidis,55.1,55.1,97%,5e-07,34.07,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_286017606.1?report=genbank&log$=prottop&blast_rank=16&RID=UKXTVWSU016"",""WP_286017606.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Bacillus],Bacillus,54.3,54.3,97%,9e-07,34.07,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_033798847.1?report=genbank&log$=prottop&blast_rank=17&RID=UKXTVWSU016"",""WP_033798847.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus gaemokensis],Bacillus gaemokensis,54.3,54.3,97%,9e-07,34.07,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_033673758.1?report=genbank&log$=prottop&blast_rank=18&RID=UKXTVWSU016"",""WP_033673758.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Bacillus],Bacillus,54.3,54.3,98%,9e-07,33.70,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_336452606.1?report=genbank&log$=prottop&blast_rank=19&RID=UKXTVWSU016"",""WP_336452606.1"")"
